"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","GRADE","ENROLLMENT"
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",63
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 6",59
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",42
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 7",60
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",48
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 8",73
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 9",69
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 9",92
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 10",63
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 10",59
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 11",46
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 11",60
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 12",37
"2018-2019",04,"HARRIS COUNTY",101838,"SOUTHWEST SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 12",50
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",124
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",92
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",37
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",40
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",38
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 1",25
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",23
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 2",23
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",21
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 3",24
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",20
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 4",12
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",12
"2018-2019",04,"HARRIS COUNTY",101840,"TWO DIMENSIONS PREPARATORY ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 5",12
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",5
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 1",2
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 2",1
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",1
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 4",3
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",2
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 5",1
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",3
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 6",3
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",4
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 7",1
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",4
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 8",4
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 9",3
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 9",2
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 10",2
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 10",6
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 11",5
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 11",4
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 12",3
"2018-2019",04,"HARRIS COUNTY",101842,"COMQUEST ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 12",3
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",1054
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 6",1062
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",996
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 7",951
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",964
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 8",873
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 9",832
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 9",876
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 10",680
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 10",717
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 11",636
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 11",596
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER","Grade 12",645
"2018-2019",04,"HARRIS COUNTY",101845,"YES PREP PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER","Grade 12",523
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",99
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",85
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",103
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 1",91
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",104
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 2",104
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",96
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 3",108
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",95
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 4",100
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",83
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 5",97
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",178
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 6",168
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",198
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 7",155
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",154
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 8",143
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 9",167
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 9",161
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 10",140
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 10",203
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 11",121
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 11",128
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 12",108
"2018-2019",04,"HARRIS COUNTY",101846,"HARMONY SCIENCE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 12",123
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",28
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",22
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",39
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 1",25
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",33
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 2",23
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",27
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 3",28
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",41
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 4",20
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",30
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 5",22
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",24
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 6",21
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",22
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 7",20
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",24
"2018-2019",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","MALE","OPEN ENROLLMENT CHARTER","Grade 8",13
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",21
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",25
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",14
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",9
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",22
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 1",16
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",20
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 2",15
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",19
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 3",16
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",25
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 4",13
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",15
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 5",5
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",5
"2018-2019",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 6",8
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",563
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",600
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",51
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",39
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",38
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 1",59
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",45
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 2",45
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",42
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 3",51
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",55
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 4",40
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",45
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 5",48
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",48
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 6",52
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",37
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 7",42
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",29
"2018-2019",04,"HARRIS COUNTY",101853,"PROMISE COMMUNITY SCHOOL","MALE","OPEN ENROLLMENT CHARTER","Grade 8",28
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",21
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",17
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",27
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",17
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",22
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Grade 1",21
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",18
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Grade 2",26
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",15
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Grade 3",22
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",16
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Grade 4",17
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",10
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Grade 5",14
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",9
"2018-2019",04,"HARRIS COUNTY",101855,"MEYERPARK ELEMENTARY","MALE","OPEN ENROLLMENT CHARTER","Grade 6",6
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",61
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",67
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",37
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",36
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",27
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 1",44
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",33
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 2",34
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 3",35
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 3",29
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 4",27
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 4",30
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 5",34
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 5",29
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 6",30
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 6",31
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 7",16
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 7",16
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER","Grade 8",15
"2018-2019",04,"HARRIS COUNTY",101856,"DRAW ACADEMY","MALE","OPEN ENROLLMENT CHARTER","Grade 8",18
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","FEMALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",16
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","MALE","OPEN ENROLLMENT CHARTER","Pre-kindergarten",12
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","FEMALE","OPEN ENROLLMENT CHARTER","Kindergarten",172
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","MALE","OPEN ENROLLMENT CHARTER","Kindergarten",171
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","FEMALE","OPEN ENROLLMENT CHARTER","Grade 1",181
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","MALE","OPEN ENROLLMENT CHARTER","Grade 1",200
"2018-2019",04,"HARRIS COUNTY",101858,"HARMONY SCHOOL OF EXCELLENCE","FEMALE","OPEN ENROLLMENT CHARTER","Grade 2",198
