DBN,School,Cohort Year,Cohort Category,Total Cohort #,Total Grads #,Total Grads   % of cohort,Total Regents #,Total Regents    % of cohort,Total Regents   % of grads,Advanced Regents #,Advanced   Regents   % of cohort,Advanced Regents    % of grads,Regents w/o Advanced  #,Regents w/o Advanced                          % of cohort,Regents w/o Advanced        % of grads,Local  #,Local   % of cohort,Local   % of grads,Still Enrolled #,Still Enrolled    % of cohort,Dropped Out  #,Dropped Out    % of cohort
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2004,5 Year  June,86,47,54.7%,32,37.2%,68.1%,3,3.5%,6.4%,29,33.7%,61.7%,15,17.4%,31.9%,15,17.4%,20,23.3%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2004,6 Year,89,51,57.3%,32,36.0%,62.7%,3,3.4%,5.9%,29,32.6%,56.9%,19,21.3%,37.3%,14,15.7%,22,24.7%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2005,4 Year  June,118,33,28.0%,24,20.3%,72.7%,3,2.5%,9.1%,21,17.8%,63.6%,9,7.6%,27.3%,67,56.8%,10,8.5%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2005,4 Year August,118,48,40.7%,33,28.0%,68.8%,3,2.5%,6.3%,30,25.4%,62.5%,15,12.7%,31.3%,52,44.1%,10,8.5%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2005,5 Year  June,118,60,50.8%,45,38.1%,75.0%,3,2.5%,5.0%,42,35.6%,70.0%,15,12.7%,25.0%,18,15.3%,30,25.4%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2005,6 Year,117,67,57.3%,46,39.3%,68.7%,3,2.6%,4.5%,43,36.8%,64.2%,21,17.9%,31.3%,14,12.0%,25,21.4%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2006,4 Year  June,112,53,47.3%,43,38.4%,81.1%,4,3.6%,7.5%,39,34.8%,73.6%,10,8.9%,18.9%,40,35.7%,13,11.6%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2006,4 Year August,112,55,49.1%,45,40.2%,81.8%,4,3.6%,7.3%,41,36.6%,74.5%,10,8.9%,18.2%,38,33.9%,13,11.6%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2006,5 Year  June,111,61,55.0%,48,43.2%,78.7%,4,3.6%,6.6%,44,39.6%,72.1%,13,11.7%,21.3%,5,4.5%,40,36.0%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2006,5 Year August,111,66,59.5%,48,43.2%,72.7%,4,3.6%,6.1%,44,39.6%,66.7%,18,16.2%,27.3%,5,4.5%,35,31.5%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2006,6 Year,110,72,65.5%,49,44.5%,68.1%,4,3.6%,5.6%,45,40.9%,62.5%,23,20.9%,31.9%,3,2.7%,32,29.1%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2007,4 Year  June,107,41,38.3%,34,31.8%,82.9%,5,4.7%,12.2%,29,27.1%,70.7%,7,6.5%,17.1%,45,42.1%,19,17.8%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2007,4 Year August,107,51,47.7%,40,37.4%,78.4%,5,4.7%,9.8%,35,32.7%,68.6%,11,10.3%,21.6%,37,34.6%,18,16.8%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2007,5 Year  June,99,59,59.6%,46,46.5%,78.0%,5,5.1%,8.5%,41,41.4%,69.5%,13,13.1%,22.0%,4,4.0%,35,35.4%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2007,5 Year August,99,61,61.6%,47,47.5%,77.0%,5,5.1%,8.2%,42,42.4%,68.9%,14,14.1%,23.0%,4,4.0%,33,33.3%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2007,6 Year,98,63,64.3%,49,50.0%,77.8%,5,5.1%,7.9%,44,44.9%,69.8%,14,14.3%,22.2%,1,1.0%,33,33.7%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2008,4 Year  June,103,37,35.9%,35,34.0%,94.6%,0,0.0%,0.0%,35,34.0%,94.6%,2,1.9%,5.4%,41,39.8%,18,17.5%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2008,4 Year August,103,42,40.8%,40,38.8%,95.2%,0,0.0%,0.0%,40,38.8%,95.2%,2,1.9%,4.8%,36,35.0%,18,17.5%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2008,5 Year  June,100,48,48.0%,45,45.0%,93.8%,0,0.0%,0.0%,45,45.0%,93.8%,3,3.0%,6.3%,21,21.0%,24,24.0%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2008,5 Year August,100,49,49.0%,46,46.0%,93.9%,0,0.0%,0.0%,46,46.0%,93.9%,3,3.0%,6.1%,20,20.0%,24,24.0%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2008,6 Year,100,55,55.0%,51,51.0%,92.7%,0,0.0%,0.0%,51,51.0%,92.7%,4,4.0%,7.3%,12,12.0%,26,26.0%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2009,4 Year  June,116,48,41.4%,46,39.7%,95.8%,1,0.9%,2.1%,45,38.8%,93.8%,2,1.7%,4.2%,42,36.2%,21,18.1%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2009,4 Year August,116,52,44.8%,50,43.1%,96.2%,1,0.9%,1.9%,49,42.2%,94.2%,2,1.7%,3.8%,38,32.8%,21,18.1%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2009,5 Year  June,112,56,50.0%,54,48.2%,96.4%,1,0.9%,1.8%,53,47.3%,94.6%,2,1.8%,3.6%,24,21.4%,26,23.2%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2009,5 Year August,112,59,52.7%,57,50.9%,96.6%,1,0.9%,1.7%,56,50.0%,94.9%,2,1.8%,3.4%,21,18.8%,26,23.2%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2009,6 Year,113,66,58.4%,63,55.8%,95.5%,1,0.9%,1.5%,62,54.9%,93.9%,3,2.7%,4.5%,11,9.7%,28,24.8%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2010,4 Year  June,105,44,41.9%,42,40.0%,95.5%,0,0.0%,0.0%,42,40.0%,95.5%,2,1.9%,4.5%,39,37.1%,18,17.1%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2010,4 Year August,105,47,44.8%,45,42.9%,95.7%,0,0.0%,0.0%,45,42.9%,95.7%,2,1.9%,4.3%,36,34.3%,18,17.1%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2010,5 Year  June,97,52,53.6%,49,50.5%,94.2%,0,0.0%,0.0%,49,50.5%,94.2%,3,3.1%,5.8%,11,11.3%,31,32.0%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2010,5 Year August,97,52,53.6%,49,50.5%,94.2%,0,0.0%,0.0%,49,50.5%,94.2%,3,3.1%,5.8%,11,11.3%,31,32.0%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2011,4 Year  June,109,54,49.5%,46,42.2%,85.2%,0,0.0%,0.0%,46,42.2%,85.2%,8,7.3%,14.8%,33,30.3%,19,17.4%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,2011,4 Year August,109,57,52.3%,49,45.0%,86.0%,0,0.0%,0.0%,49,45.0%,86.0%,8,7.3%,14.0%,30,27.5%,19,17.4%
13K117,FRANCIS SCOTT KEY SCHOOL,2001,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K117,FRANCIS SCOTT KEY SCHOOL,2001,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K117,FRANCIS SCOTT KEY SCHOOL,2001,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K117,FRANCIS SCOTT KEY SCHOOL,2006,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K117,FRANCIS SCOTT KEY SCHOOL,2006,5 Year August,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2001,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2001,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2001,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2002,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2002,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2002,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2003,4 Year  June,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2003,5 Year  June,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2003,6 Year,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2004,4 Year  June,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2004,5 Year  June,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2004,6 Year,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2006,4 Year  June,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2006,4 Year August,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2006,5 Year  June,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2006,5 Year August,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K258,DAVID RUGGLES SCHOOL,2006,6 Year,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2001,4 Year  June,23,20,87.0%,8,34.8%,40.0%,0,0.0%,0.0%,8,34.8%,40.0%,12,52.2%,60.0%,3,13.0%,0,0.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2001,5 Year  June,23,21,91.3%,8,34.8%,38.1%,0,0.0%,0.0%,8,34.8%,38.1%,13,56.5%,61.9%,2,8.7%,0,0.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2001,6 Year,23,22,95.7%,8,34.8%,36.4%,0,0.0%,0.0%,8,34.8%,36.4%,14,60.9%,63.6%,1,4.3%,0,0.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2002,4 Year  June,66,48,72.7%,34,51.5%,70.8%,0,0.0%,0.0%,34,51.5%,70.8%,16,24.2%,33.3%,7,10.6%,9,13.6%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2002,5 Year  June,66,52,78.8%,36,54.5%,69.2%,0,0.0%,0.0%,36,54.5%,69.2%,18,27.3%,34.6%,3,4.5%,9,13.6%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2002,6 Year,66,52,78.8%,36,54.5%,69.2%,0,0.0%,0.0%,36,54.5%,69.2%,18,27.3%,34.6%,2,3.0%,10,15.2%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2003,4 Year  June,73,55,75.3%,41,56.2%,74.5%,0,0.0%,0.0%,41,56.2%,74.5%,14,19.2%,25.5%,12,16.4%,6,8.2%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2003,5 Year  June,73,61,83.6%,43,58.9%,70.5%,0,0.0%,0.0%,43,58.9%,70.5%,18,24.7%,29.5%,4,5.5%,8,11.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2003,6 Year,74,61,82.4%,43,58.1%,70.5%,0,0.0%,0.0%,43,58.1%,70.5%,18,24.3%,29.5%,2,2.7%,9,12.2%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2004,4 Year  June,49,35,71.4%,30,61.2%,85.7%,0,0.0%,0.0%,30,61.2%,85.7%,5,10.2%,14.3%,9,18.4%,3,6.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2004,5 Year  June,47,37,78.7%,29,61.7%,78.4%,0,0.0%,0.0%,29,61.7%,78.4%,8,17.0%,21.6%,4,8.5%,3,6.4%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2004,6 Year,47,38,80.9%,30,63.8%,78.9%,0,0.0%,0.0%,30,63.8%,78.9%,8,17.0%,21.1%,1,2.1%,6,12.8%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2005,4 Year  June,100,46,46.0%,38,38.0%,82.6%,0,0.0%,0.0%,38,38.0%,82.6%,8,8.0%,17.4%,41,41.0%,9,9.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2005,4 Year August,100,54,54.0%,44,44.0%,81.5%,0,0.0%,0.0%,44,44.0%,81.5%,10,10.0%,18.5%,33,33.0%,9,9.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2005,5 Year  June,90,62,68.9%,47,52.2%,75.8%,0,0.0%,0.0%,47,52.2%,75.8%,15,16.7%,24.2%,5,5.6%,19,21.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2005,6 Year,89,63,70.8%,47,52.8%,74.6%,0,0.0%,0.0%,47,52.8%,74.6%,16,18.0%,25.4%,2,2.2%,21,23.6%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2006,4 Year  June,81,66,81.5%,45,55.6%,68.2%,0,0.0%,0.0%,45,55.6%,68.2%,21,25.9%,31.8%,11,13.6%,3,3.7%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2006,4 Year August,81,68,84.0%,46,56.8%,67.6%,0,0.0%,0.0%,46,56.8%,67.6%,22,27.2%,32.4%,9,11.1%,3,3.7%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2006,5 Year  June,80,71,88.8%,46,57.5%,64.8%,0,0.0%,0.0%,46,57.5%,64.8%,25,31.3%,35.2%,3,3.8%,6,7.5%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2006,5 Year August,80,71,88.8%,46,57.5%,64.8%,0,0.0%,0.0%,46,57.5%,64.8%,25,31.3%,35.2%,3,3.8%,6,7.5%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2006,6 Year,80,71,88.8%,46,57.5%,64.8%,0,0.0%,0.0%,46,57.5%,64.8%,25,31.3%,35.2%,3,3.8%,5,6.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2007,4 Year  June,72,56,77.8%,51,70.8%,91.1%,8,11.1%,14.3%,43,59.7%,76.8%,5,6.9%,8.9%,7,9.7%,9,12.5%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2007,4 Year August,72,58,80.6%,52,72.2%,89.7%,8,11.1%,13.8%,44,61.1%,75.9%,6,8.3%,10.3%,5,6.9%,9,12.5%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2007,5 Year  June,72,61,84.7%,55,76.4%,90.2%,8,11.1%,13.1%,47,65.3%,77.0%,6,8.3%,9.8%,0,0.0%,11,15.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2007,5 Year August,72,61,84.7%,55,76.4%,90.2%,8,11.1%,13.1%,47,65.3%,77.0%,6,8.3%,9.8%,0,0.0%,11,15.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2007,6 Year,72,61,84.7%,55,76.4%,90.2%,8,11.1%,13.1%,47,65.3%,77.0%,6,8.3%,9.8%,0,0.0%,11,15.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2008,4 Year  June,39,28,71.8%,25,64.1%,89.3%,4,10.3%,14.3%,21,53.8%,75.0%,3,7.7%,10.7%,8,20.5%,2,5.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2008,4 Year August,39,31,79.5%,27,69.2%,87.1%,4,10.3%,12.9%,23,59.0%,74.2%,4,10.3%,12.9%,5,12.8%,2,5.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2008,5 Year  June,39,33,84.6%,29,74.4%,87.9%,4,10.3%,12.1%,25,64.1%,75.8%,4,10.3%,12.1%,3,7.7%,2,5.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2008,5 Year August,39,33,84.6%,29,74.4%,87.9%,4,10.3%,12.1%,25,64.1%,75.8%,4,10.3%,12.1%,3,7.7%,2,5.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2008,6 Year,39,34,87.2%,30,76.9%,88.2%,4,10.3%,11.8%,26,66.7%,76.5%,4,10.3%,11.8%,0,0.0%,4,10.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2009,4 Year  June,73,42,57.5%,41,56.2%,97.6%,8,11.0%,19.0%,33,45.2%,78.6%,1,1.4%,2.4%,30,41.1%,1,1.4%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2009,4 Year August,73,46,63.0%,45,61.6%,97.8%,8,11.0%,17.4%,37,50.7%,80.4%,1,1.4%,2.2%,26,35.6%,1,1.4%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2009,5 Year  June,73,48,65.8%,46,63.0%,95.8%,8,11.0%,16.7%,38,52.1%,79.2%,2,2.7%,4.2%,17,23.3%,8,11.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2009,5 Year August,73,48,65.8%,46,63.0%,95.8%,8,11.0%,16.7%,38,52.1%,79.2%,2,2.7%,4.2%,17,23.3%,8,11.0%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2009,6 Year,71,51,71.8%,49,69.0%,96.1%,8,11.3%,15.7%,41,57.7%,80.4%,2,2.8%,3.9%,9,12.7%,10,14.1%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2010,4 Year  June,73,43,58.9%,40,54.8%,93.0%,0,0.0%,0.0%,40,54.8%,93.0%,3,4.1%,7.0%,25,34.2%,5,6.8%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2010,4 Year August,73,48,65.8%,44,60.3%,91.7%,0,0.0%,0.0%,44,60.3%,91.7%,4,5.5%,8.3%,20,27.4%,5,6.8%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2010,5 Year  June,70,58,82.9%,53,75.7%,91.4%,0,0.0%,0.0%,53,75.7%,91.4%,5,7.1%,8.6%,8,11.4%,3,4.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2010,5 Year August,70,58,82.9%,53,75.7%,91.4%,0,0.0%,0.0%,53,75.7%,91.4%,5,7.1%,8.6%,8,11.4%,3,4.3%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2011,4 Year  June,69,34,49.3%,29,42.0%,85.3%,0,0.0%,0.0%,29,42.0%,85.3%,5,7.2%,14.7%,28,40.6%,6,8.7%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,2011,4 Year August,69,35,50.7%,29,42.0%,82.9%,0,0.0%,0.0%,29,42.0%,82.9%,6,8.7%,17.1%,27,39.1%,6,8.7%
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2007,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2007,4 Year August,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2007,5 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2007,5 Year August,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2007,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2008,4 Year  June,21,8,38.1%,8,38.1%,100.0%,0,0.0%,0.0%,8,38.1%,100.0%,0,0.0%,0.0%,9,42.9%,3,14.3%
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2008,4 Year August,21,8,38.1%,8,38.1%,100.0%,0,0.0%,0.0%,8,38.1%,100.0%,0,0.0%,0.0%,9,42.9%,3,14.3%
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2008,5 Year  June,12,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2008,5 Year August,12,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2008,6 Year,12,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2009,4 Year  June,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2009,4 Year August,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2009,5 Year  June,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2009,5 Year August,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,2009,6 Year,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2004,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2005,4 Year  June,91,64,70.3%,41,45.1%,64.1%,0,0.0%,0.0%,41,45.1%,64.1%,23,25.3%,35.9%,17,18.7%,8,8.8%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2005,4 Year August,91,67,73.6%,41,45.1%,61.2%,0,0.0%,0.0%,41,45.1%,61.2%,26,28.6%,38.8%,14,15.4%,8,8.8%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2005,5 Year  June,92,71,77.2%,43,46.7%,60.6%,0,0.0%,0.0%,43,46.7%,60.6%,28,30.4%,39.4%,5,5.4%,13,14.1%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2005,6 Year,93,73,78.5%,43,46.2%,58.9%,0,0.0%,0.0%,43,46.2%,58.9%,30,32.3%,41.1%,3,3.2%,14,15.1%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2006,4 Year  June,96,69,71.9%,50,52.1%,72.5%,0,0.0%,0.0%,50,52.1%,72.5%,19,19.8%,27.5%,18,18.8%,7,7.3%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2006,4 Year August,96,77,80.2%,55,57.3%,71.4%,0,0.0%,0.0%,55,57.3%,71.4%,22,22.9%,28.6%,10,10.4%,7,7.3%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2006,5 Year  June,96,82,85.4%,55,57.3%,67.1%,0,0.0%,0.0%,55,57.3%,67.1%,27,28.1%,32.9%,2,2.1%,10,10.4%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2006,5 Year August,96,82,85.4%,55,57.3%,67.1%,0,0.0%,0.0%,55,57.3%,67.1%,27,28.1%,32.9%,2,2.1%,10,10.4%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2006,6 Year,95,83,87.4%,55,57.9%,66.3%,0,0.0%,0.0%,55,57.9%,66.3%,28,29.5%,33.7%,0,0.0%,10,10.5%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2007,4 Year  June,87,43,49.4%,32,36.8%,74.4%,0,0.0%,0.0%,32,36.8%,74.4%,11,12.6%,25.6%,37,42.5%,4,4.6%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2007,4 Year August,87,51,58.6%,34,39.1%,66.7%,0,0.0%,0.0%,34,39.1%,66.7%,17,19.5%,33.3%,29,33.3%,4,4.6%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2007,5 Year  June,84,55,65.5%,35,41.7%,63.6%,0,0.0%,0.0%,35,41.7%,63.6%,20,23.8%,36.4%,11,13.1%,17,20.2%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2007,5 Year August,84,57,67.9%,35,41.7%,61.4%,0,0.0%,0.0%,35,41.7%,61.4%,22,26.2%,38.6%,9,10.7%,17,20.2%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2007,6 Year,83,61,73.5%,37,44.6%,60.7%,0,0.0%,0.0%,37,44.6%,60.7%,24,28.9%,39.3%,0,0.0%,21,25.3%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2008,4 Year  June,89,46,51.7%,36,40.4%,78.3%,0,0.0%,0.0%,36,40.4%,78.3%,10,11.2%,21.7%,29,32.6%,12,13.5%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2008,4 Year August,89,54,60.7%,42,47.2%,77.8%,0,0.0%,0.0%,42,47.2%,77.8%,12,13.5%,22.2%,21,23.6%,12,13.5%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,2008,5 Year  June,89,58,65.2%,46,51.7%,79.3%,0,0.0%,0.0%,46,51.7%,79.3%,12,13.5%,20.7%,8,9.0%,22,24.7%
